Map Name,Series ID,Published GIS Uploaded to Postgres,Publication Year,Vector GIS Published,Tabular GIS Altered,Unit Symbol Source,Unit Name Source,Unit Description Source,Unit Age Source,Notes,genesis Source,composition Source,source Source,confidence Source
Swallow Cnyn Quad,MP-171DM,FALSE,2020,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Allens Ranch Quad,M-287DM,FALSE,2020,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Goshen Pass Quad,M-286DM,FALSE,2020,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Sugar House Quad,M-285DM,FALSE,2020,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Tooele Quad,M-284DM,FALSE,2020,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Cedar Mesa Bndry Butte Quad,OFR-713DR,FALSE,2019,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Dirty Devil Quad,OFR-711DR,FALSE,2019,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Mt Ellen Blue Hills Quad,OFR-710DR,FALSE,2019,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Promontory Mtns Quad,OFR-698DR,FALSE,2019,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Beaver SW Quad,OFR-686DM,FALSE,2019,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Salt Lake City South Quad,M-283DM,FALSE,2019,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Saltair NE Quad,M-282DM,FALSE,2019,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Baileys Lake Quad,M-281DM,FALSE,2019,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Antelope Island South Quad,M-280DM,FALSE,2019,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
